id,utility_id,user_id
1,1,1666
2,2,1666
3,3,1666
4,4,1666
5,5,1666
6,6,1666
7,7,1666
8,8,1666
9,9,1666
10,10,1666
11,11,1666
12,12,1666
13,13,1666
14,14,1666
15,15,1666
16,1,1666
17,2,1666
18,3,1666
19,4,1666
20,5,1666
21,6,1666
22,7,1666
23,8,1666
24,9,1666
25,10,1667
26,11,1667
27,12,1667
28,13,1667
29,14,1667
30,15,1667
31,1,1667
32,2,1667
33,3,1667
34,4,1667
35,5,1667
36,6,1667
37,7,1667
38,8,1667
39,9,1667
40,10,1667
41,11,1667
42,12,1667
43,13,1667
44,14,1667
45,15,1667
46,1,1667
47,2,1667
48,3,1667
49,4,1668
50,5,1668
51,6,1668
52,7,1668
53,8,1668
54,9,1668
55,10,1668
56,11,1668
57,12,1668
58,13,1668
59,14,1668
60,15,1668
61,1,1668
62,2,1668
63,3,1668
64,4,1668
65,5,1668
66,6,1668
67,7,1668
68,8,1668
69,9,1668
70,10,1668
71,11,1668
72,12,1668
73,13,1669
74,14,1669
75,15,1669
76,1,1669
77,2,1669
78,3,1669
79,4,1669
80,5,1669
81,6,1669
82,7,1669
83,8,1669
84,9,1669
85,10,1669
86,11,1669
87,12,1669
88,13,1669
89,14,1669
90,15,1669
91,1,1669
92,2,1669
93,3,1669
94,4,1669
95,5,1669
96,6,1669
97,7,1670
98,8,1670
99,9,1670
100,10,1670
101,11,1670
102,12,1670
103,13,1670
104,14,1670
105,15,1670
106,1,1670
107,2,1670
108,3,1670
109,4,1670
110,5,1670
111,6,1670
112,7,1670
113,8,1670
114,9,1670
115,10,1670
116,11,1670
117,12,1670
118,13,1670
119,14,1670
120,15,1670
121,1,1671
122,2,1671
123,3,1671
124,4,1671
125,5,1671
126,6,1671
127,7,1671
128,8,1671
129,9,1671
130,10,1671
131,11,1671
132,12,1671
133,13,1671
134,14,1671
135,15,1671
136,1,1671
137,2,1671
138,3,1671
139,4,1671
140,5,1671
141,6,1671
142,7,1671
143,8,1671
144,9,1671
145,10,1672
146,11,1672
147,12,1672
148,13,1672
149,14,1672
150,15,1672
151,1,1672
152,2,1672
153,3,1672
154,4,1672
155,5,1672
156,6,1672
157,7,1672
158,8,1672
159,9,1672
160,10,1672
161,11,1672
162,12,1672
163,13,1672
164,14,1672
165,15,1672
166,1,1672
167,2,1672
168,3,1672
169,4,1673
170,5,1673
171,6,1673
172,7,1673
173,8,1673
174,9,1673
175,10,1673
176,11,1673
177,12,1673
178,13,1673
179,14,1673
180,15,1673
181,1,1673
182,2,1673
183,3,1673
184,4,1673
185,5,1673
186,6,1673
187,7,1673
188,8,1673
189,9,1673
190,10,1673
191,11,1673
192,12,1673
193,13,1674
194,14,1674
195,15,1674
196,1,1674
197,2,1674
198,3,1674
199,4,1674
200,5,1674
201,6,1674
202,7,1674
203,8,1674
204,9,1674
205,10,1674
206,11,1674
207,12,1674
208,13,1674
209,14,1674
210,15,1674
211,1,1674
212,2,1674
213,3,1674
214,4,1674
215,5,1674
216,6,1674
217,7,1675
218,8,1675
219,9,1675
220,10,1675
221,11,1675
222,12,1675
223,13,1675
224,14,1675
225,15,1675
226,1,1675
227,2,1675
228,3,1675
229,4,1675
230,5,1675
231,6,1675
232,7,1675
233,8,1675
234,9,1675
235,10,1675
236,11,1675
237,12,1675
238,13,1675
239,14,1675
240,15,1675
241,1,1676
242,2,1676
243,3,1676
244,4,1676
245,5,1676
246,6,1676
247,7,1676
248,8,1676
249,9,1676
250,10,1676
251,11,1676
252,12,1676
253,13,1676
254,14,1676
255,15,1676
256,1,1676
257,2,1676
258,3,1676
259,4,1676
260,5,1676
261,6,1676
262,7,1676
263,8,1676
264,9,1676
265,10,1677
266,11,1677
267,12,1677
268,13,1677
269,14,1677
270,15,1677
271,1,1677
272,2,1677
273,3,1677
274,4,1677
275,5,1677
276,6,1677
277,7,1677
278,8,1677
279,9,1677
280,10,1677
281,11,1677
282,12,1677
283,13,1677
284,14,1677
285,15,1677
286,1,1677
287,2,1677
288,3,1677
289,4,1678
290,5,1678
291,6,1678
292,7,1678
293,8,1678
294,9,1678
295,10,1678
296,11,1678
297,12,1678
298,13,1678
299,14,1678
300,15,1678
301,1,1678
302,2,1678
303,3,1678
304,4,1678
305,5,1678
306,6,1678
307,7,1678
308,8,1678
309,9,1678
310,10,1678
311,11,1678
312,12,1678
313,13,1679
314,14,1679
315,15,1679
316,1,1679
317,2,1679
318,3,1679
319,4,1679
320,5,1679
321,6,1679
322,7,1679
323,8,1679
324,9,1679
325,10,1679
326,11,1679
327,12,1679
328,13,1679
329,14,1679
330,15,1679
331,1,1679
332,2,1679
333,3,1679
334,4,1679
335,5,1679
